,City,Cloudiness,Date,Humidity,Lat,Lng,Max Temp,Wind Speed,Country
0,saint-philippe,18,1589343093,53,-21.36,55.77,71.6,8.05,RE
1,nikolskoye,29,1589343093,86,59.7,30.79,35.6,6.71,RU
2,bredasdorp,40,1589343093,71,-34.53,20.04,57.2,10.29,ZA
3,kaitangata,0,1589343093,63,-46.28,169.85,55.99,1.99,NZ
4,oranjestad,40,1589342847,78,12.52,-70.03,80.06,26.55,AW
5,provideniya,100,1589343094,78,64.38,-173.3,35.6,2.24,RU
6,rikitea,0,1589343095,73,-23.12,-134.97,75.94,7.54,PF
7,jamestown,1,1589343095,69,42.1,-79.24,37.4,5.82,US
8,new norfolk,100,1589342940,97,6.65,-10.59,75.24,1.83,LR
9,punta arenas,100,1589343095,64,8.99,125.34,87.8,8.95,PH
10,port hedland,64,1589343095,68,-7.03,29.76,71.31,6.26,CD
11,yellowknife,20,1589342937,63,62.46,-114.35,28.4,19.46,CA
12,kapaa,20,1589343096,65,22.08,-159.32,75.99,1.99,US
13,torbay,90,1589343006,100,47.67,-52.73,43.0,4.7,CA
14,isla vista,14,1589343097,45,15.89,120.3,96.17,2.86,PH
15,along,80,1589343097,60,28.17,94.77,81.84,0.87,IN
16,mahebourg,40,1589343097,64,-20.41,57.7,71.6,6.93,MU
17,khatanga,89,1589343097,97,71.97,102.5,22.1,7.76,RU
18,barrow,1,1589343098,79,71.29,-156.79,23.0,29.97,US
19,hobart,40,1589342934,50,-42.88,147.33,54.0,11.41,AU
20,bambous virieux,40,1589343098,64,-20.26,57.41,72.0,6.93,MU
21,port lincoln,64,1589343099,68,-7.03,29.76,71.31,6.26,CD
22,moron,14,1589343076,93,-34.65,-58.62,54.0,2.08,AR
23,hilo,75,1589343099,61,19.73,-155.09,80.6,12.75,US
24,wamba,59,1589342976,80,8.93,8.6,76.53,2.39,NG
25,margate,42,1589343100,56,51.38,1.39,46.99,3.0,GB
26,bluff,10,1589343100,57,-46.6,168.33,51.64,3.29,NZ
27,georgetown,20,1589343100,70,5.41,100.34,87.8,6.93,MY
28,ushuaia,40,1589342844,60,-54.8,-68.3,33.91,4.09,AR
29,ketchikan,1,1589343017,44,55.34,-131.65,56.82,4.29,US
30,chuy,35,1589343101,87,-33.7,-53.46,55.54,7.05,UY
31,kirakira,90,1589343101,74,-10.45,161.92,84.36,12.26,SB
32,pangnirtung,98,1589343101,94,66.15,-65.71,30.65,4.61,CA
33,vardo,1,1589343102,69,70.37,31.11,32.0,5.82,NO
34,caucaia,0,1589343102,83,-3.74,-38.65,78.8,2.24,BR
35,portland,100,1589342878,87,45.52,-122.68,55.99,9.84,US
36,finschhafen,100,1589343102,80,-6.6,147.87,80.64,6.71,PG
37,mataura,0,1589343103,63,-46.19,168.86,52.12,1.63,NZ
38,longyearbyen,90,1589343104,79,78.22,15.64,30.94,11.52,SJ
39,clyde river,14,1589343104,46,41.3,-82.98,46.0,4.88,US
40,namibe,8,1589343104,56,-15.2,12.15,74.82,7.56,AO
41,tuatapere,2,1589343105,57,-46.13,167.68,53.89,1.36,NZ
42,bira,55,1589343105,35,49.0,132.47,58.82,10.13,RU
43,katsuura,20,1589343105,50,35.13,140.3,82.99,11.41,JP
44,busselton,99,1589343106,36,-33.65,115.33,71.01,5.26,AU
45,port alfred,64,1589343095,68,-7.03,29.76,71.31,6.26,CD
46,hermanus,74,1589343106,76,-34.42,19.23,57.99,1.99,ZA
